segments,consistent customers,one-off birds,commercial carriers,premium purchasers,promising punters,cash cows,petronas patrons,month_year_id,lapsed_proportion
consistent customers,0.867042201577071,0.041737646569841295,8.341968001966948e-05,0.02579131615766027,0.034303050525983037,3.658757895599539e-05,0.014074509872792306,202201,0.016931268037676417
one-off birds,0.10501303236581724,0.4282916213275299,1.0122225877470456e-05,6.073335526482274e-05,0.14419616873750538,1.5183338816205684e-05,0.0003492167927727307,202201,0.3220639218564162
commercial carriers,0.025,0.11474358974358974,0.41410256410256413,0.007051282051282051,0.14935897435897436,0.15064102564102563,0.12756410256410255,202201,0.011538461538461497
premium purchasers,0.03563756384174361,0.010641476149151384,0.0003414377374059268,0.9017228379166607,0.04666315744547666,0.000184945441094877,0.004765901751291062,202201,4.267971717564212e-05
promising punters,0.008059062740266597,0.06147781243424718,0.00014688932088170647,0.015296339279924728,0.8723743533892395,0.0003758249291027445,0.01178422885091528,202201,0.030485489055422366
cash cows,0.08521576569559121,0.01687697979955341,0.0006750791919821363,0.03754478890792958,0.14337643454328297,0.20636651607207768,0.49581970192657215,202201,0.01412473386301083
petronas patrons,0.14889155602463935,0.008382797285748311,0.0004062971386407259,0.02280868074852075,0.2446936192668905,0.0018820430674966959,0.5722064736677424,202201,0.0007285328003212577
